Date,Open Price,Close Price,High Price,Low Price,Volume
12-Nov-2013,46.00,46.60,47.37,45.83,68148464
13-Nov-2013,46.23,48.71,48.74,46.06,79223096
14-Nov-2013,48.70,48.99,49.57,48.03,75098032
15-Nov-2013,49.11,49.01,49.48,48.71,42441644
18-Nov-2013,48.47,45.83,48.84,45.80,85889920
19-Nov-2013,46.26,46.36,47.00,45.72,75578960
20-Nov-2013,46.61,46.43,47.55,46.31,53918564
21-Nov-2013,46.99,46.70,47.46,46.69,34878344
22-Nov-2013,47.04,46.23,47.27,45.96,40536848
25-Nov-2013,46.36,44.82,46.65,44.04,82553864
26-Nov-2013,44.66,45.89,46.17,43.55,81994192
27-Nov-2013,45.97,46.49,46.67,45.53,44984204
29-Nov-2013,46.75,47.01,47.21,46.50,22949672
02-Dec-2013,46.90,47.06,47.54,46.26,50472948
03-Dec-2013,46.75,46.73,47.20,46.29,31817940
04-Dec-2013,46.46,48.62,48.77,46.26,59545728
05-Dec-2013,48.15,48.34,48.70,47.87,43613408
06-Dec-2013,48.98,47.94,49.39,47.71,42774040
09-Dec-2013,48.09,48.84,48.97,47.74,35560896
10-Dec-2013,48.64,50.24,50.77,48.54,68094520
11-Dec-2013,50.55,49.38,50.77,49.01,59613908
12-Dec-2013,51.04,51.83,52.07,50.66,91972208
13-Dec-2013,51.66,53.32,53.50,51.34,81017672
16-Dec-2013,53.25,53.81,54.50,52.91,84769504
17-Dec-2013,54.76,54.86,55.18,54.24,78041568
18-Dec-2013,54.86,55.57,55.89,53.75,74866592
19-Dec-2013,54.33,55.05,55.19,53.95,89449168
20-Dec-2013,54.93,55.12,55.15,54.23,146044912
23-Dec-2013,55.50,57.77,58.32,55.45,97669752
24-Dec-2013,58.27,57.96,58.58,56.91,46301460
26-Dec-2013,58.32,57.73,58.38,57.37,54933784
27-Dec-2013,57.48,55.44,57.68,55.25,59895840
30-Dec-2013,54.93,53.71,55.18,53.43,68040592
31-Dec-2013,54.12,54.65,54.86,53.91,42784724
02-Jan-2014,54.83,54.71,55.22,54.19,42943096
03-Jan-2014,55.02,54.56,55.65,54.53,38160916
06-Jan-2014,54.42,57.18,57.26,54.05,67318128
07-Jan-2014,57.70,57.92,58.55,57.22,76692992
08-Jan-2014,57.60,58.23,58.41,57.23,56000328
10-Jan-2014,57.13,57.94,58.30,57.06,42236400
13-Jan-2014,57.91,55.91,58.25,55.38,62627432
14-Jan-2014,56.46,57.74,57.78,56.10,37282300
15-Jan-2014,57.98,57.60,58.57,57.27,33546964
16-Jan-2014,57.26,57.19,58.02,56.83,34135920
17-Jan-2014,57.30,56.30,57.82,56.07,40668412
21-Jan-2014,56.60,58.50,58.58,56.50,47515216
22-Jan-2014,58.85,57.51,59.31,57.10,61126280
23-Jan-2014,56.37,56.63,56.68,55.69,47294488
24-Jan-2014,56.15,54.45,56.42,54.40,54998252
27-Jan-2014,54.73,53.55,54.94,51.85,73461336
28-Jan-2014,54.02,55.14,55.28,54.00,47642440
29-Jan-2014,54.61,53.47,54.95,53.19,66907996
30-Jan-2014,62.12,61.08,62.50,60.46,149439664
31-Jan-2014,60.47,62.57,63.37,60.17,86771448
03-Feb-2014,63.03,61.48,63.77,60.70,74246912
04-Feb-2014,62.05,62.75,63.14,61.82,45840260
05-Feb-2014,62.74,62.19,63.16,61.27,50318880
06-Feb-2014,61.46,62.16,62.78,61.46,41853580
07-Feb-2014,62.27,64.32,64.57,62.22,60523144
10-Feb-2014,64.30,63.55,64.49,63.47,43302052
11-Feb-2014,63.75,64.85,65.00,63.35,45422680
12-Feb-2014,64.92,64.45,65.06,64.05,47080120
13-Feb-2014,64.18,67.33,67.33,64.05,61542592
14-Feb-2014,67.50,67.09,67.58,66.72,36610016
18-Feb-2014,66.94,67.30,67.54,66.07,43677040
19-Feb-2014,67.05,68.06,69.08,67.00,55733188
20-Feb-2014,67.73,69.63,70.11,65.73,130361560
21-Feb-2014,69.69,68.59,69.96,68.45,70552384
24-Feb-2014,68.74,70.78,71.44,68.54,76307568
25-Feb-2014,70.95,69.85,71.00,69.45,51748856
26-Feb-2014,70.19,69.26,71.22,68.85,54840616
27-Feb-2014,69.34,68.94,70.01,68.87,41496092
28-Feb-2014,69.47,68.46,69.88,67.38,65604808
03-Mar-2014,66.96,67.41,68.05,66.51,56679332
04-Mar-2014,68.66,68.80,68.90,67.62,41322152
05-Mar-2014,69.69,71.57,71.97,69.62,74227176
06-Mar-2014,71.88,70.84,71.89,70.25,45795920
07-Mar-2014,71.08,69.80,71.18,69.47,38728988
10-Mar-2014,70.77,72.03,72.15,70.51,59674688
11-Mar-2014,72.50,70.10,72.59,69.96,57597704
12-Mar-2014,69.86,70.88,71.35,69.00,45570288
13-Mar-2014,71.29,68.83,71.35,68.15,55522564
14-Mar-2014,68.49,67.72,69.43,67.46,47882704
17-Mar-2014,68.18,68.74,68.95,66.62,52014048
18-Mar-2014,68.76,69.19,69.60,68.30,40385788
19-Mar-2014,69.17,68.24,69.29,67.46,43474592
20-Mar-2014,68.01,66.97,68.23,66.82,44219916
21-Mar-2014,67.53,67.24,67.92,66.18,54087332
24-Mar-2014,67.19,64.10,67.36,63.36,85202864
25-Mar-2014,64.89,64.89,66.19,63.78,67798432
26-Mar-2014,64.74,60.38,64.95,60.37,97032568
27-Mar-2014,60.51,60.97,61.90,57.98,112259592
28-Mar-2014,61.34,60.01,61.95,59.33,66483144
31-Mar-2014,60.78,60.24,61.52,59.87,52658660
01-Apr-2014,60.46,62.62,62.66,60.24,56733836
02-Apr-2014,63.21,62.73,63.91,62.21,65198792
03-Apr-2014,62.55,59.47,63.17,59.13,81966384
04-Apr-2014,59.94,56.75,60.20,56.32,124912272
07-Apr-2014,55.90,56.95,58.00,55.44,107257488
08-Apr-2014,57.68,58.19,58.71,57.17,78487432
09-Apr-2014,59.63,62.41,62.46,59.19,98385912
10-Apr-2014,63.08,59.16,63.18,58.68,111977472
11-Apr-2014,57.60,58.53,60.31,57.31,90133856
14-Apr-2014,60.09,58.89,60.45,57.78,71589672
15-Apr-2014,59.29,59.09,59.68,55.88,107013592
16-Apr-2014,59.79,59.72,60.19,57.74,77754976
17-Apr-2014,59.30,58.94,60.58,58.72,68637664
21-Apr-2014,59.46,61.24,61.24,59.15,59200200
22-Apr-2014,62.65,63.03,63.44,62.22,60014112
23-Apr-2014,63.45,61.36,63.48,61.26,73484336
24-Apr-2014,63.60,60.87,63.65,59.77,137496288
25-Apr-2014,59.97,57.71,60.01,57.57,91721648
28-Apr-2014,58.05,57.71,58.31,54.66,104855344
29-Apr-2014,56.09,58.15,58.28,55.84,74668544
30-Apr-2014,57.58,58.15,59.85,57.16,74722808
01-May-2014,60.43,59.78,62.28,60.21,81975848
02-May-2014,61.30,61.15,61.89,60.18,53766872
05-May-2014,59.67,61.22,61.35,59.18,45725728
06-May-2014,60.98,58.53,61.15,58.49,55278352
